UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
PrinceDayakBenuaq,@BenuaqPrince,2021-11-20T06:30:36.000Z,"PrinceDayakBenuaq
@BenuaqPrince
·
Nov 20","Gimana mas Toprak nggak cepat adaptasi dengan Mandalika Circuit, sebelumya dia sudah ngerumput di sana 
#IDNWorldSBK
1
3
35",😆 😃,1,3,35,['https://pbs.twimg.com/media/FEnfRs2VIAgEsz6?format=jpg&name=small'],https://twitter.com/BenuaqPrince/status/1461945051957776389
ℙ𝕚𝕟𝕠𝕜𝕚𝕠 𝔹𝕒𝕟𝕘𝕤𝕒𝕥,@mca_62,2021-11-20T17:54:27.000Z,"ℙ𝕚𝕟𝕠𝕜𝕚𝕠 𝔹𝕒𝕟𝕘𝕤𝕒𝕥
@mca_62
·
22h","Jauh-jauh ke Mandalika cuma buat nonton Balapan Sapi
2
16
55",🤣 🤣 🤣,2,16,55,['https://pbs.twimg.com/ext_tw_video_thumb/1462117103482245120/pu/img/KkUe_QD66tfwzm6_.jpg'],https://twitter.com/mca_62/status/1462117146419363845
Terima Jasa Disalahkan,@basaillive,2021-11-20T12:43:19.000Z,"Terima Jasa Disalahkan
@basaillive
·
Nov 20",".
Prepare sebelum ke Mandalika..
.
2
18",,,2,18,['https://pbs.twimg.com/media/FEo0krfVEAE_giG?format=jpg&name=small'],https://twitter.com/basaillive/status/1462038849215893506
GunsSemar C.470.R,@Goen_Abimanyu,2021-11-20T15:11:30.000Z,"GunsSemar C.470.R
@Goen_Abimanyu
·
Nov 20","Motto GP Mandalika

#PertaminaMandalikaCircuit 
#MandalikaCircuit 
#MandalikaMendunia
2K views
0:00 / 2:20
6
30",♥ ☕,,6,30,[],https://twitter.com/Goen_Abimanyu/status/1462076141586436109
Toni,@Toni17250685,2021-11-20T14:48:12.000Z,"Toni
@Toni17250685
·
Nov 20","Pawang
RCTI 
Malam Minggu 
VVIP 
Asup 

Kodok paling suka ni dg genangan air sambil balap di Mandalika
1
6",,,1,6,"['https://pbs.twimg.com/media/FEpRKIMVcAIam3n?format=jpg&name=small', 'https://pbs.twimg.com/media/FEpRKgrVcAYlWmt?format=jpg&name=360x360']",https://twitter.com/Toni17250685/status/1462070275646783492
Pass Pi,@Passpiss0,2021-11-20T12:05:29.000Z,"Pass Pi
@Passpiss0
·
Nov 20","Adakah yang ingin mengajak liburan ke Lombok liat Sirkuit dan balapan di Mandalika?
2
1
9",,2,1,9,['https://pbs.twimg.com/media/FEor6sZUcAMvzxJ?format=jpg&name=small'],https://twitter.com/Passpiss0/status/1462029328103788555
Tukang Fotokopi,@eranugros,2021-11-20T07:20:23.000Z,"Tukang Fotokopi
@eranugros
·
Nov 20","De Rosa masuk sejarah, sebagai pemenang pertama balapan resmi Sirkuit Mandalika. 

#WorldSSP #IDNWorldSBK
4
5
20",👏,4,5,20,['https://pbs.twimg.com/media/FEnqq0GVQAUwAya?format=jpg&name=small'],https://twitter.com/eranugros/status/1461957578200547329
Dewo Wisnu,@Dew0W1snu,2021-11-20T14:39:43.000Z,"Dewo Wisnu
@Dew0W1snu
·
Nov 20","Tidak saja kebanggaan, tapi potensi wisata, perekonomian yang menggeliat dan ditunjang program vaksinasi covid oleh pemerintahan Jokowi, memungkinkan gelaran bergengsi ini berlangsung. 

Sukses Mandalika, sukses Indonesia. 

https://kerjha.com/penonton-fp1-dan-fp2-wsbk-mandalika-capai-15-ribu-orang/…
8
14",🌹 🌹,,8,14,['https://pbs.twimg.com/media/FEpPOZUVcAQhGtT?format=jpg&name=small'],https://twitter.com/Dew0W1snu/status/1462068140536336388
Dunia Kampus Indonesia,@duniakampusindo,2021-11-20T23:53:30.000Z,"Dunia Kampus Indonesia
@duniakampusindo
·
16h","Happy Holiday  Sobat Dunia Kampus Indonesia, Salam sehat selalu 

Halo Sobat Dunia Kampus Indonesia,
pastinya kalian sudah tahu belum, kita punya sirkuit baru ya 
yaaap betul, SIRKUIT MANDALIKA yang ramai dibicarakan
banyak pagelaran yang akan dilaksanakn disini lo
2",😁 🏃 🤗 😁 🤩,,,2,"['https://pbs.twimg.com/media/FErN9ulVcAcKbGM?format=jpg&name=360x360', 'https://pbs.twimg.com/media/FErN-K4VEAMwmGD?format=jpg&name=360x360', 'https://pbs.twimg.com/media/FErN9-gVEAEVdZc?format=jpg&name=360x360', 'https://pbs.twimg.com/media/FErN-aiUYAc1iqC?format=jpg&name=360x360']",https://twitter.com/duniakampusindo/status/1462207503756759041
ULLBimaDompuNTB,@UllbimaNtb,2021-11-20T12:38:40.000Z,"ULLBimaDompuNTB
@UllbimaNtb
·
Nov 20","WSBK 2021 Bubar akibat hujan deras guyur mandalika lombok NTB (20/11/2021)
0:41
845 views
2
3
10",,2,3,10,[],https://twitter.com/UllbimaNtb/status/1462037679843856386
