UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
raniaaaa,@ranisetya18,2021-06-20T13:26:27.000Z,"raniaaaa
@ranisetya18
·
Jun 20","#MotoGP gatau seneng bgt smpe gabisa berkata2 congratulation 
@marcmarquez93
 
ahirnya naik podium jg dan mempertahankan tahta king of sachsenring 
sehat2 trus abang see ya di mandalika
1
1
12",👑 😭 😭 😭 😭 ❤ ❤,1,1,12,"['https://pbs.twimg.com/media/E4VDLqaVoAElt6u?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E4VDMshVgAQpzzp?format=jpg&name=small', 'https://pbs.twimg.com/media/E4VDMT1UcAEDVv5?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E4VDNHNVcAE4F7K?format=jpg&name=small']",https://twitter.com/ranisetya18/status/1406604359530541056
JANGAN LIAT PINNED,@ambisfs,2021-06-20T10:31:58.000Z,"JANGAN LIAT PINNED
@ambisfs
·
Jun 20","ambis! akt 22 saintek mutualan yu! jfb ya:)

✄・・・
 Trivia: Putri Mandalika menyeburkan diri ke laut dan menjadi cacing nyale (jenis polychaeta.)
17",‼ 🧐,,,17,[],https://twitter.com/ambisfs/status/1406560448950931461
CNN Indonesia,@CNNIndonesia,2021-06-20T11:15:09.000Z,"CNN Indonesia
@CNNIndonesia
·
Jun 20","Hasil Moto2 Jerman: Gardner Menang, Mandalika Rebut Poin
cnnindonesia.com
Hasil Moto2 Jerman: Gardner Menang, Mandalika Rebut Poin
Pembalap KTM Remy Gardner menang Moto2 Jerman 2021 dan memperlebar jarak di puncak klasemen setelah Raul Fernandez terjatuh.
7
6",,,7,6,[],https://twitter.com/CNNIndonesia/status/1406571317608927233
Kiara,@araakiara,2021-06-20T00:00:05.000Z,"Kiara
@araakiara
·
Jun 20","Demi tingkatkan pariwisata, pemerintah akan menghadirkan Mandalika International Street Circuit yang menjadi bagian dari kawasan pariwisata yang dijuluki 'Bali baru.' #VaksinasiDemiPulihkanRI",❄,,,,['https://pbs.twimg.com/media/E4SKpfVWEAAcF6q?format=jpg&name=small'],https://twitter.com/araakiara/status/1406401430903218176
Jihan,@soo_jihan,2021-06-20T00:00:36.000Z,"Jihan
@soo_jihan
·
Jun 20",Dinas Pariwisata dan Kebudayaan Kabupaten Lombok bersama Indonesia Tourism Development Corporation telah menyiapkan sejumlah fasilitas penunjang untuk Mandalika International Street Circuit #VaksinasiDemiPulihkanRI,,,,,['https://pbs.twimg.com/media/E4SKw90WUAAakl8?format=jpg&name=small'],https://twitter.com/soo_jihan/status/1406401560515579911
Hanafi,@hanafi_umrik,2021-06-20T09:37:52.000Z,"Hanafi
@hanafi_umrik
·
Jun 20","Mandalika di moto3 GG ternyata
1
1",,,1,1,[],https://twitter.com/hanafi_umrik/status/1406546836551180298
Arya Embun pagi,@PagiArya,2021-06-20T00:41:06.000Z,"Arya Embun pagi
@PagiArya
·
Jun 20","Mandalika İnternasional Street Circuit adalah bagian dari kawasan pariwisata yang di juluki Bali Baru.

#VaksinasiDemiPulihkanRI
#VaksinasiDemiPulihkanRI",,,,,['https://pbs.twimg.com/media/E4SUCIjVcAIcjLo?format=jpg&name=small'],https://twitter.com/PagiArya/status/1406411751566966785
Rainy,@Rainy38572710,2021-06-20T01:15:07.000Z,"Rainy
@Rainy38572710
·
Jun 20","MANDALIKA SIAP MENYAMBUT MOTOGP
#VaksinasiDemiPulihkanRi",,,,,['https://pbs.twimg.com/media/E4Sb0brVcAArh5I?format=jpg&name=small'],https://twitter.com/Rainy38572710/status/1406420311797428229
BBT Kemenperin,@bbt_kemenperin,2021-06-20T17:07:30.000Z,"BBT Kemenperin
@bbt_kemenperin
·
Jun 21","Kunjungan Kepala Dinas Perindustrian Perdagangan Kab. Lombok Tengah NTB dalam rangka permintaan dukungan BBT dalam program penguatan mutu kain tenun dan pembangunan Sentra Tenun di Kawasan Khusus Mandalika
1
2",,1,,2,['https://pbs.twimg.com/media/E4V1zIpVcAMm-1Z?format=jpg&name=small'],https://twitter.com/bbt_kemenperin/status/1406659986948722693
︎ ︎,@plumbinq,2021-06-20T11:17:30.000Z,"︎ ︎
@plumbinq
·
Jun 20","lagi isoman tapi pake helm terus ternyata isolasi mandalika
2",🦠,,,2,[],https://twitter.com/plumbinq/status/1406571909286830080
